"site","mean_A_thk","SD","n","SE"
"1","C2A",10.8333333333333,2.63944438597722,6,0.933184511944628
"2","C2B",3,3.21455025366432,7,1.13651514141549
"3","C5A",28.1666666666667,3.60092580688171,6,1.27311952829785
"4","C5B",15.4285714285714,4.57737708217063,7,1.61834718742537
"5","D2A",3.5,5.61990510002912,7,1.98693650292773
"6","D2B",3.75,2.54950975679639,8,0.901387818865997
"7","D5A",13.6666666666667,1.47196014438797,6,0.520416499866533
"8","D5B",7.64285714285714,2.09591439301732,7,0.741017640044515
