date,site,treatment,forest_type,inv_lvl,plot,totalO_thk,Oi_thk,Oe_thk,Oa_thk,A_thk,A_type,source,sample_number,bulk_density,notes
8/17/2020,C2A,C2,C,2,5,4.0,NA,NA,NA,NA,NA,bd,C2A-OBD-5,0.153,
8/17/2020,C2A,C2,C,2,6,6.0,NA,NA,NA,NA,NA,bd,C2A-OBD-6,0.1,
8/13/2020,C2B,C2,C,2,1,6.0,NA,NA,NA,NA,NA,bd,C2B-OBD-1,0.19,
8/13/2020,C2B,C2,C,2,2,6.0,NA,NA,NA,NA,NA,bd,C2B-OBD-2,0.1,
8/13/2020,C2B,C2,C,2,3,6.0,NA,NA,NA,NA,NA,bd,C2B-OBD-3,0.08,
8/13/2020,C2B,C2,C,2,4,7.0,NA,NA,NA,NA,NA,bd,C2B-OBD-4,0.04,
8/13/2020,C2B,C2,C,2,5,7.5,NA,NA,NA,NA,NA,bd,C2B-OBD-5,0.06,
8/13/2020,C2B,C2,C,2,6,7.0,NA,NA,NA,NA,NA,bd,C2B-OBD-6,0.1,
,C5A,C5,C,5,1,0.0,NA,NA,NA,NA,NA,NA,NA,0.08,
,C5A,C5,C,5,2,0.0,NA,NA,NA,NA,NA,NA,NA,0.07,
,C5A,C5,C,5,3,0.0,NA,NA,NA,NA,NA,NA,NA,0.05,
,C5A,C5,C,5,4,0.0,NA,NA,NA,NA,NA,NA,NA,0.12,
,C5A,C5,C,5,5,0.0,NA,NA,NA,NA,NA,NA,NA,0.06,
,C5A,C5,C,5,6,0.0,NA,NA,NA,NA,NA,NA,NA,0.08,
,C5B,C5,C,5,1,5.0,NA,NA,NA,NA,NA,bd,C5B-OBD-1,NA,
,C5B,C5,C,5,2,5.0,NA,NA,NA,NA,NA,bd,C5B-OBD-2,NA,
,C5B,C5,C,5,3,4.0,NA,NA,NA,NA,NA,bd,C5B-OBD-3,NA,
,C5B,C5,C,5,4,5.0,NA,NA,NA,NA,NA,bd,C5B-OBD-4,NA,
,C5B,C5,C,5,5,3.5,NA,NA,NA,NA,NA,bd,C5B-OBD-5,NA,
,C5B,C5,C,5,6,3.0,NA,NA,NA,NA,NA,bd,C5B-OBD-6,NA,
8/16/2020,D2A,D2,D,2,1,NA,NA,NA,NA,NA,NA,bd,D2A-OBD-1,0.95,
8/16/2020,D2A,D2,D,2,2,NA,NA,NA,NA,NA,NA,bd,D2A-OBD-2,1.06,
8/16/2020,D2A,D2,D,2,3,5.5,NA,NA,NA,NA,NA,bd,D2A-OBD-3,0.86,
8/16/2020,D2A,D2,D,2,4,6.0,NA,NA,NA,NA,NA,bd,D2A-OBD-4,0.81,
8/16/2020,D2A,D2,D,2,5,NA,NA,NA,NA,NA,NA,bd,D2A-OBD-5,1.08,
8/16/2020,D2A,D2,D,2,6,NA,NA,NA,NA,NA,NA,bd,D2A-OBD-6,0.99,
8/16/2020,D2A,D2,D,2,1,7.5,NA,NA,NA,NA,NA,tco,D2A-TCO-1,,
8/16/2020,D2A,D2,D,2,2,7.0,NA,NA,NA,NA,NA,tco,D2A-TCO-2,,
8/16/2020,D2A,D2,D,2,3,9.0,NA,NA,NA,NA,NA,tco,D2A-TCO-3,,
8/16/2020,D2A,D2,D,2,4,NA,NA,NA,NA,NA,NA,tco,D2A-TCO-4,,
8/16/2020,D2A,D2,D,2,5,NA,NA,NA,NA,NA,NA,tco,D2A-TCO-5,,
8/16/2020,D2A,D2,D,2,6,NA,NA,NA,NA,NA,NA,tco,D2A-TCO-6,,
8/15/2020,D2B,D2,D,2,1,6.0,NA,NA,NA,NA,NA,bd,D2B-OBD-1,0.252,
8/15/2020,D2B,D2,D,2,2,NA,NA,NA,NA,NA,NA,bd,D2B-OBD-2,0.284,
8/15/2020,D2B,D2,D,2,3,6.0,NA,NA,NA,NA,NA,bd,D2B-OBD-3,0.208,
8/16/2020,D2B,D2,D,2,4,5.0,NA,NA,NA,NA,NA,bd,D2B-OBD-4,0.211,
8/16/2020,D2B,D2,D,2,5,5.5,NA,NA,NA,NA,NA,bd,D2B-OBD-5,0.226,
8/16/2020,D2B,D2,D,2,6,6.0,NA,NA,NA,NA,NA,bd,D2B-OBD-6,0.233,
8/15/2020,D2B,D2,D,2,1,8.5,NA,NA,NA,NA,NA,tco,D2B-TCO-1,,
8/15/2020,D2B,D2,D,2,2,8.0,NA,NA,NA,NA,NA,tco,D2B-TCO-2,,
8/15/2020,D2B,D2,D,2,3,8.0,NA,NA,NA,NA,NA,tco,D2B-TCO-3,,
8/16/2020,D2B,D2,D,2,4,7.5,NA,NA,NA,NA,NA,tco,D2B-TCO-4,,
8/16/2020,D2B,D2,D,2,5,NA,NA,NA,NA,NA,NA,tco,D2B-TCO-5,,
8/16/2020,D2B,D2,D,2,6,NA,NA,NA,NA,NA,NA,tco,D2B-TCO-6,,
,D5A,D5,D,5,1,0.0,NA,NA,NA,NA,NA,NA,NA,,
,D5A,D5,D,5,2,0.0,NA,NA,NA,NA,NA,NA,NA,,
,D5A,D5,D,5,3,0.0,NA,NA,NA,NA,NA,NA,NA,,
,D5A,D5,D,5,4,0.0,NA,NA,NA,NA,NA,NA,NA,,
,D5A,D5,D,5,5,0.0,NA,NA,NA,NA,NA,NA,NA,,
,D5A,D5,D,5,6,0.0,NA,NA,NA,NA,NA,NA,NA,,
11/6/2020,D5B,D5,D,5,1,0.0,NA,NA,NA,NA,NA,NA,NA,,
11/6/2020,D5B,D5,D,5,2,0.0,NA,NA,NA,NA,NA,NA,NA,,
11/6/2020,D5B,D5,D,5,3,0.0,NA,NA,NA,NA,NA,NA,NA,,
11/6/2020,D5B,D5,D,5,4,0.0,NA,NA,NA,NA,NA,NA,NA,,
11/6/2020,D5B,D5,D,5,5,0.0,NA,NA,NA,NA,NA,NA,NA,,
11/6/2020,D5B,D5,D,5,6,0.0,NA,NA,NA,NA,NA,NA,NA,,
