"site","treatment","O","A"
"1","C2A","C2",4.96428571428571,10.8333333333333
"2","C2B","C2",7.73076923076923,3
"3","C5A","C5",0.0833333333333333,28.1666666666667
"4","C5B","C5",3.42307692307692,15.4285714285714
"5","D2A","D2",6.30769230769231,3.5
"6","D2B","D2",6.14705882352941,3.75
"7","D5A","D5",0.166666666666667,13.6666666666667
"8","D5B","D5",0.576923076923077,7.64285714285714
