"site","mean_O_thk","SD","n","SE"
"1","C2A",4.96428571428571,1.3931740974961,14,0.492561425856469
"2","C2B",7.73076923076923,1.42325016270543,13,0.503194920686932
"3","C5A",0.0833333333333333,0.288675134594813,12,0.102062072615966
"4","C5B",3.42307692307692,1.3821202589704,13,0.488653303766639
"5","D2A",6.30769230769231,1.83187587755536,13,0.647665927655727
"6","D2B",6.14705882352941,1.52852774224858,17,0.540416165887866
"7","D5A",0.166666666666667,0.325669473639465,12,0.11514154661796
"8","D5B",0.576923076923077,1.11516355015296,13,0.39426985422261
