sample_number,season,site,treatment,rep,horizon,depth,sample_type,core_loss,sample_dim,notes,forest_floor,fiber,color,pH,bd,texture,LOI
114,2020,C2A,C2,6,O,0-6,BD,,,"03/23/21: Extensive fungal growth, black fuzz and white mycelium",,,,,0.1,,
115,2020,C2A,C2,1,min,,BD core,,,,,,,,0.97,,
116,2020,C2A,C2,2,min,4,BD core,,,,,,,,1.14,,
117,2020,C2A,C2,3,min,3,BD core,,,,,,,,0.97,,
118,2020,C2A,C2,4,min,2,BD core,,,,,,,,,,
119,2020,C2A,C2,5,min,,BD core,,,,,,,,,,
120,2020,C2A,C2,6,min,5,BD core,,,,,,,,,,
121,2020,C2A,C2,1,O,,TCO,,,,,,,,,,
122,2020,C2A,C2,2,O,,TCO,,,,,,,,,,
123,2020,C2A,C2,3,O,,TCO,,,,,,,,,,
124,2020,C2A,C2,4,O,,TCO,,,,,,,,,,
125,2020,C2A,C2,5,O,,TCO,,,,,,,,,,
126,2020,C2A,C2,6,O,,TCO,,,,,,,,,,
127,2020,C2B,C2,1,O,0-6,BD,,,"03/23/21: FG, some decomp, MAgg, Agg",,,,,0.19,,
128,2020,C2B,C2,2,O,0-6,BD,,,"03/23/21: some decomp, MAgg",,,,,0.1,,
129,2020,C2B,C2,3,O,0-6,BD,,,"03/23/21: some decomp, MAgg",,,,,0.081,,
130,2020,C2B,C2,4,O,0-7,BD,,,"03/23/21: some decomp, MAgg",,,,,0.044,,
131,2020,C2B,C2,5,O,0-7.5,BD,,,"03/23/21: FG, some decomp, MAgg",,,,,0.062,,
132,2020,C2B,C2,6,O,0-7,BD,,,"03/23/21: FG, some decomp, MAgg, drier than other samples",,,,,0.1,,
133,2020,C2B,C2,1,min,,BD core,,,,,,,,1.03,,
134,2020,C2B,C2,2,min,,BD core,,,,,,,,0.98,,
135,2020,C2B,C2,3,min,,BD core,,,,,,,,1.08,,
136,2020,C2B,C2,4,min,,BD core,,,,,,,,1.13,,
137,2020,C2B,C2,5,min,,BD core,,,,,,,,0.98,,
138,2020,C2B,C2,6,min,,BD core,,,,,,,,0.87,,
139,2020,C2B,C2,1,O,,TCO,,,,,,,,,,
140,2020,C2B,C2,2,O,,TCO,,,,,,,,,,
141,2020,C2B,C2,3,O,,TCO,,,,,,,,,,
142,2020,C2B,C2,4,O,,TCO,,,,,,,,,,
143,2020,C2B,C2,5,O,,TCO,,,,,,,,,,
144,2020,C2B,C2,6,O,,TCO,,,,,,,,,,
145,2020,C5A,C5,1,min,,BD core,,,,,,,,0.77,,
146,2020,C5A,C5,2,min,,BD core,,,,,,,,0.79,,
147,2020,C5A,C5,3,min,,BD core,,,,,,,,0.71,,
148,2020,C5A,C5,4,min,,BD core,,,,,,,,0.66,,
149,2020,C5A,C5,5,min,,BD core,,,,,,,,0.65,,
